name	fit_state	warnings	star_mask_used	noise_mask_used	chirality_maj	chirality_alenWtd	chirality_wtdPangSum	chirality_longestArc	badBulgeFitFlag	bulgeAxisRatio	bulgeMajAxsLen	bulgeMajAxsAngle	bulgeAvgBrt	bulgeDiskBrtRatio	numElpsRefits	diskAxisRatio	diskMinAxsLen	diskMajAxsLen	diskMajAxsAngleRadians	inputCenterR	inputCenterC	iptSz	muDist	muDistProp	covarFit	wtdLik	likOfCtr	brtUnifScore	gaussLogLik	contourBrtRatio	standardizedCenterR	standardizedCenterC	hasDeletedCtrClus	failed2revDuringMergeCheck	failed2revDuringSecondaryMerging	failed2revInOutput	cpu_time	wall_time	bar_candidate_available	bar_used	alenAt25pct	alenAt50pct	alenAt75pct	rankAt25pct	rankAt50pct	rankAt75pct	avgArcLength	minArcLength	lowerQuartileArcLength	medianArcLength	upperQuartileArcLength	maxArcLength	totalArcLength	totalNumArcs	chirality_votes_maj	chirality_votes_alenWtd	alenWtdPangSum	top2_chirality_agreement	pa_longest	pa_avg	pa_avg__abs	pa_avg_domChiralityOnly	pa_alenWtd_avg	paErr_alenWtd_stdev	pa_alenWtd_avg__abs	paErr_alenWtd_stdev__abs	pa_alenWtd_avg_domChiralityOnly	paErr_alenWtd_stdev_domChiralityOnly	pa_totBrtWtd	pa_avgBrtWtd	pa_alenWtd_median	pa_alenWtd_lowQuartile	pa_alenWtd_highQuartile	pa_alenWtd_lowDecile	pa_alenWtd_highDecile	pa_alenWtd_median_domChiralityOnly	pa_alenWtd_lowQuartile_domChiralityOnly	pa_alenWtd_highQuartile_domChiralityOnly	pa_alenWtd_lowDecile_domChiralityOnly	pa_alenWtd_highDecile_domChiralityOnly	sorted_agreeing_pangs	sorted_agreeing_arclengths	numArcs_largest_length_gap	numDcoArcs_largest_length_gap	numArcs_arclength_function_flattening	numDcoArcs_arclength_function_flattening	bar_score_img	bar_cand_score_orifld	bar_angle_input_img	bar_half_length_input_img	bar_angle_standardized_img	bar_half_length_standardized_img	numArcsGE000	numArcsGE010	numArcsGE020	numArcsGE040	numArcsGE050	numArcsGE055	numArcsGE060	numArcsGE065	numArcsGE070	numArcsGE075	numArcsGE080	numArcsGE085	numArcsGE090	numArcsGE095	numArcsGE100	numArcsGE120	numArcsGE140	numArcsGE160	numArcsGE180	numArcsGE200	numArcsGE220	numArcsGE240	numArcsGE260	numArcsGE280	numArcsGE300	numArcsGE350	numArcsGE400	numArcsGE450	numArcsGE500	numArcsGE550	numArcsGE600	numDcoArcsGE000	numDcoArcsGE010	numDcoArcsGE020	numDcoArcsGE040	numDcoArcsGE050	numDcoArcsGE055	numDcoArcsGE060	numDcoArcsGE065	numDcoArcsGE070	numDcoArcsGE075	numDcoArcsGE080	numDcoArcsGE085	numDcoArcsGE090	numDcoArcsGE095	numDcoArcsGE100	numDcoArcsGE120	numDcoArcsGE140	numDcoArcsGE160	numDcoArcsGE180	numDcoArcsGE200	numDcoArcsGE220	numDcoArcsGE240	numDcoArcsGE260	numDcoArcsGE280	numDcoArcsGE300	numDcoArcsGE350	numDcoArcsGE400	numDcoArcsGE450	numDcoArcsGE500	numDcoArcsGE550	numDcoArcsGE600	_
1237654880741294238	OK	lgspFitting_highErrPerLenForLongArc_10061.86|	none	none	Swise	Swise	Swise	Swise	false	0.774854719	12.51110727	-0.4084385169	0.9338339591	2.378857217	9	0.6935721941	42.98315313	61.97358183	-0.2198063251	64.72815736	64.64776313	[129_129]	0.4449373345	0.006898253248	[29.56126319_3.3470686243.347068624_15.32772774]	0.8766889505	0.007541593719	0.3333333333	-1253345.239	1.034333276	130.4932041	129.1898166	false	false	true	false	69.87	69.992784	false	false	565.8327413	565.8327413	48.7345596	1	1	3	67.79594591	6.278925153	11.72503008	15.85056034	46.52842909	565.8327413	881.3472968	13	[9_4]	[757.7674023_123.5798945]	5300.846177	'onelong'	2.709636759	14.71219499	24.54748025	28.3542099	6.014480553	15.45120033	10.86407332	12.52539336	9.81558971	13.10849895	3.434516155	20.34581469	2.709636759	2.709636759	2.709636759	-14.76406187	30.26388356	2.709636759	2.709636759	3.041817203	2.709636759	35.24492359	[2.709636759_21.18915752_35.24492359_29.30949193_46.53174999_42.76190401_30.26388356_44.13532451_3.041817203]	[565.8327413_48.7345596_45.79305225_44.02263167_14.54773595_12.27224943_10.69018518_9.595321746_6.278925153]	1	1	3	2	0.9013	5.9101	291.9060	20.9180	34.5000	105.0000	13	11	6	5	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	9	7	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	_
1237658204498296934	OK	lgspFitting_highErrPerLenForLongArc_7433.94|	none	none	Zwise	Zwise	Zwise	Zwise	false	0.9496664719	8.380441493	0.841842998	0.9153092006	2.631912717	9	0.6497767545	78.23687295	120.4057739	0.8403449906	145.4205596	145.2609244	[291_291]	0.9391399284	0.006454569955	[84.9864965_35.9189297235.91892972_92.91295538]	0.7012821008	0.001941903368	0.2431372549	-8574754.74	1.102516116	128.9122487	127.5440326	false	false	false	false	76.4	76.490883	false	false	596.9323766	596.9323766	76.09548531	1	1	2	81.26058461	7.903882455	10.08251852	22.78876666	31.2880335	596.9323766	812.6058461	10	[4_6]	[79.68842313_732.9174229]	-1991.033122	'agree'	-5.965956555	4.642189077	18.77686787	-11.778899	-2.450183114	12.48433783	8.774425627	9.212575284	-6.222517297	3.885147758	-5.672765857	-8.980190085	-5.965956555	-5.965956555	-5.965956555	3.190612726	-5.965956555	-5.965956555	-5.965956555	-5.965956555	-0.2553951692	-5.965956555	[5.965956555_0.2553951692_16.64820094_25.67268202_5.303307561_16.82785174]	[596.9323766_76.09548531_31.2880335_10.61512659_10.08251852_7.903882455]	1	1	4	3	0.5841	6.3744	116.6482	47.0859	158.5000	98.0000	10	8	6	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	6	5	3	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	_
1237660614513131530	OK	findClusterArcs_deletedAClusterThatIntersectedTheCenter_size=4040|lgspFitting_highErrPerLenForLongArc_3146.65|	none	none	Zwise	Zwise	Zwise	Zwise	false	0.8121910788	10.33711744	0.8386182561	0.9106113033	3.318765114	8	0.5265560758	121.5129265	230.7692041	1.031475006	240.3645047	240.5711471	[480_480]	0.1530388525	0.0006376618852	[233.9644261_159.2589904159.2589904_404.740309]	0.5928602206	0.0006033289476	0.231372549	-22083687.82	1.175384353	128.2060574	127.9817354	true	false	false	false	37.76	38.521427	false	false	522.2594052	522.2594052	522.2594052	1	1	1	101.9398699	6.022728653	12.00245514	22.29753501	26.75956068	522.2594052	611.6392197	6	[2_4]	[33.34829966_578.29092]	-3438.615909	'onelong'	-3.963600693	-8.426950163	17.22621925	-19.23987706	-5.621967655	9.316014241	6.70744958	8.567657893	-6.520208839	8.358737022	-4.247923694	-16.1822162	-3.963600693	-3.963600693	-3.963600693	-3.963600693	-3.963600693	-3.963600693	-3.963600693	-3.963600693	-3.963600693	-3.963600693	[3.963600693_38.51057629_26.83818632_7.647144926]	[522.2594052_26.75956068_23.2492255_6.022728653]	1	1	2	1	0.7001	6.5227	114.0992	31.8555	145.0000	35.0000	6	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	_
1237661384387789055	OK	input_lowMinorAxisResolution_16.07pixels|	none	none	Swise	Swise	Swise	Zwise	false	0.9691953692	7.895628373	1.118629679	0.8117647059	2.494725245	9	0.49123746	16.0718958	32.71716249	-1.530154829	28.57543992	28.38203041	[56_56]	0.1400285886	0.005001021022	[1.847669102_0.23460989820.2346098982_7.607618849]	0.8348715928	0.0380559068	0.2090196078	-286550.9074	1.032286599	131.6990295	125.8089005	false	false	false	false	17.45	17.53308	false	false	98.7669715	98.04717187	28.02832016	1	2	3	48.50971886	18.83964424	23.20959242	26.09746655	98.04717187	98.7669715	291.0583131	6	[4_2]	[173.4516974_117.6066157]	2068.00296	'disagree'	-4.173251703	9.88036752	17.15339661	20.2753231	7.105115595	14.30485771	12.22175829	10.28300763	16.2156018	11.01832499	14.73711396	20.42885085	10.33102528	-4.173251703	10.33102528	-4.173251703	24.72122986	10.33102528	10.33102528	24.72122986	6.319572182	39.72946506	[10.33102528_24.72122986_39.72946506_6.319572182]	[98.04717187_28.02832016_24.16661295_23.20959242]	2	1	3	0	0.2346	2.4526	190.3286	9.8437	8.0000	72.0000	6	6	5	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_
1237662239093424322	OK	input_lowMinorAxisResolution_22.01pixels|lgspFitting_highErrPerLenForLongArc_6190.11|	FAIL	none	Swise	Swise	Swise	Swise	true	0.008276768745	52.25326701	0.03863218033	0.6302191465	1.577051946	8	0.3895788157	22.01212189	56.50235845	-0.0519524843	52.84033284	44.40821822	[106_106]	9.115681907	0.1719939983	[23.91093328_1.0542131171.054213117_3.69214007]	0.8344623146	0.002310902755	0.2	-1730827.783	0.945489321	126.3460389	128.7882806	false	false	false	false	21.36	21.437931	false	false	152.5445278	103.7628899	31.75902806	2	3	7	52.25023974	8.489794977	29.47267695	31.50832555	47.55242914	166.2417644	731.5033563	14	[9_5]	[579.4778625_152.0254939]	3433.113535	'agree'	3.826305494	2.091460661	24.84020785	20.94685329	4.693230052	24.02806196	18.69385804	15.80866349	14.76133477	15.25284904	7.231672525	13.79018829	3.826305494	2.196768584	27.16472771	-33.20464711	34.55157439	3.826305494	2.196768584	27.16472771	2.196768584	36.40806168	[3.826305494_2.196768584_27.16472771_51.3440344_20.93796828_36.40806168_34.55157439_7.314631635_4.777607395]	[166.2417644_152.5445278_103.7628899_33.84014409_31.75902806_31.05906604_29.919991_20.47063302_9.879818128]	3	3	4	4	0.2106	5.9735	79.0233	15.9023	172.0000	69.0000	14	12	12	4	3	3	3	3	3	3	3	3	3	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	8	3	3	3	3	3	3	3	3	3	3	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	_
1237662302443274294	OK	lgspFitting_highErrPerLenForLongArc_20836.16|	none	none	Swise	Swise	Swise	EQ	false	0.8750666453	36.41596478	0.7834701061	0.8609735122	3.482205371	8	0.9012011829	66.06883344	73.31196929	0.3050873226	71.65973316	71.96911283	[143_143]	0.3416658296	0.004778543071	[43.4481463_2.3785217322.378521732_36.64438864]	0.9404688367	0.003989363064	0.5176470588	-992533.8341	1	128.1857044	126.8983566	false	false	false	false	38.55	38.665538	false	false	428.9447495	428.9447495	83.07735052	1	1	3	77.20983194	4.971706764	6.184333896	32.10702304	83.55237212	428.9447495	694.8884875	9	[5_3]	[169.2772327_96.66650529]	3136.103996	'disagree'	0	5.027693198	15.19365139	18.19921013	4.513103977	14.33090711	7.933940638	12.75913759	25.54775935	12.83872648	25.17302757	18.069754	0	0	0	-11.35298763	34.0391442	34.0391442	5.924865458	34.0391442	5.924865458	35.00658051	[34.0391442_5.924865458_35.00658051_10.68066814_5.344792329]	[83.07735052_37.51300812_32.10702304_11.60814421_4.971706764]	1	1	1	1	1.1370	6.8289	103.9802	20.5078	176.5000	70.0000	9	6	5	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	5	4	3	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_
1237662305650999364	OK	lgspFitting_highErrPerLenForLongArc_1524.93|	none	none	Zwise	Zwise	Zwise	Zwise	false	0.9915755323	8.450739511	1.406835537	0.9296256684	3.546461234	7	0.9080670269	202.3213731	222.8044485	-0.2607751577	299.616818	299.2349288	[598_598]	0.2896707709	0.0009687985647	[479.2066329_21.1873781821.18737818_405.4629531]	0.5474805182	0.0003612057444	0.28	-27150812.6	1.168544383	128.3215199	128.9774216	false	false	false	false	52.79	52.870035	true	true	468.4162004	198.0651895	93.81938564	1	2	3	85.54135018	7.031969316	12.09317365	28.57001389	82.34703831	468.4162004	940.954852	11	[2_9]	[18.48822519_922.4666268]	-10334.77082	'agree'	-6.135031084	-12.53892056	13.5312605	-15.93177731	-10.98328022	7.313169823	11.09444871	7.143395914	-11.26010717	7.116939352	-8.496983483	-14.1426621	-6.135031084	-6.135031084	-12.26124033	-6.135031084	-23.49690108	-6.135031084	-6.135031084	-12.26124033	-6.135031084	-23.49690108	[6.135031084_12.26124033_23.49690108_23.34388359_8.261744756_9.843695973_32.79041676_19.56012631_7.692955921]	[468.4162004_198.0651895_93.81938564_47.92999632_37.67295931_28.57001389_25.24518914_14.00392695_8.743765758]	1	1	5	5	2.7253	9.4706	46.5587	29.0039	151.5000	49.0000	11	9	7	4	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	0	0	0	9	8	7	4	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	0	0	0	_
1237664093973512232	OK	findClusterArcs_deletedAClusterThatIntersectedTheCenter_size=6492|	FAIL	none	Zwise	Zwise	Zwise	Zwise	true	7.040235419e08	3.712746733	1.204242043	0.9803921569	3.250842132	6	0.6608877396	59.79799459	90.4813193	-0.291105108	80.1975963	61.92414192	[164_164]	20.70427489	0.2524911571	[64.70387452_10.5069608910.50696089_32.78392755]	0.7051686743	0.0001139539705	0.2309803922	-1701409.664	1.102601917	128.5636666	128.0702096	true	false	false	false	20.58	20.65426	false	false	118.2346625	74.0096251	63.22277783	1	2	3	51.72997168	11.8210728	17.92521442	44.19462764	74.0096251	118.2346625	310.3798301	6	[2_4]	[43.09169187_267.2881382]	-2966.874939	'agree'	-10.2362181	-5.731754991	12.19006931	-13.44136823	-9.558852257	11.9141102	12.6263014	8.596173063	-12.88090124	8.665153329	-14.82386126	-14.12221364	-10.2362181	-2.343928339	-15.49584092	1.596668095	-25.68948555	-10.2362181	-10.2362181	-25.68948555	-2.343928339	-25.68948555	[10.2362181_25.68948555_2.343928339_15.49584092]	[118.2346625_74.0096251_63.22277783_11.8210728]	1	3	1	1	1.8674	8.6440	300.3209	7.6289	47.0000	33.0000	6	6	4	3	3	3	3	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	3	3	3	3	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_
1237667781754749028	OK	input_lowMinorAxisResolution_33.43pixels|lgspFitting_highErrPerLenForLongArc_14532.82|	none	none	Swise	Swise	Swise	Swise	false	0.9196072291	8.734189041	0.3410858938	0.8317165463	2.398000527	10	0.9359797508	33.43124192	35.71791152	-0.3414531246	51.45927137	51.05515592	[102_102]	0.4467046822	0.008758915337	[9.419403565_0.37355401650.3735540165_8.500993113]	0.7711211555	0.01672597103	0.2784313725	-1053041.927	1.118809273	126.6616956	128.9923099	false	false	false	false	27.18	27.283331	false	false	354.8648502	354.8648502	33.13411591	1	1	5	47.17782724	8.207010273	12.84053528	18.51688707	34.01828165	354.8648502	613.3117542	13	[8_5]	[500.1544172_113.157337]	973.9587851	'onelong'	4.825415781	0.6930223767	21.21088232	17.79692257	1.588032152	16.77485294	12.46464732	11.33799385	8.616012579	8.033216413	5.500216567	15.12146539	4.825415781	4.825415781	4.825415781	-27.5965348	16.03337222	4.825415781	4.825415781	9.193730838	4.825415781	18.94004092	[4.825415781_11.53932269_9.193730838_38.15753688_23.11424055_16.03337222_29.91883186_9.592929711]	[354.8648502_34.21706763_33.95201966_18.51688707_17.98748192_17.08791716_13.18375718_10.34443628]	1	1	2	1	1.2247	5.0772	58.9362	7.3711	168.5000	59.0000	13	12	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	8	8	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	_
